item,itemLabel,year,nobelPrizeLabel,article_en,article_ja,pic,sexOrGenderLabel,dateOfBirth,dateOfDeath,countryOfCitizenshipLabel
http://www.wikidata.org/entity/Q179282,スティーヴン・ワインバーグ,1979,ノーベル物理学賞,https://en.wikipedia.org/wiki/Steven_Weinberg,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%B4%E3%83%B3%E3%83%BB%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0,http://commons.wikimedia.org/wiki/Special:FilePath/Steven%20weinberg%202010.jpg,男性,1933-05-03T00:00:00Z,2021-07-23T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q217734,福井謙一,1981,ノーベル化学賞,https://en.wikipedia.org/wiki/Kenichi_Fukui,https://ja.wikipedia.org/wiki/%E7%A6%8F%E4%BA%95%E8%AC%99%E4%B8%80,http://commons.wikimedia.org/wiki/Special:FilePath/Kenichi%20Fukui.jpg,男性,1918-10-04T00:00:00Z,1998-01-09T00:00:00Z,日本
http://www.wikidata.org/entity/Q73093,パウル・カラー,1937,ノーベル化学賞,https://en.wikipedia.org/wiki/Paul_Karrer,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%A6%E3%83%AB%E3%83%BB%E3%82%AB%E3%83%A9%E3%83%BC,http://commons.wikimedia.org/wiki/Special:FilePath/UAZ%20DOK.005.059%20Karrer.tif,男性,1889-04-21T00:00:00Z,1971-06-18T00:00:00Z,スイス
http://www.wikidata.org/entity/Q102250,ピーター・アグレ,2003,ノーベル化学賞,https://en.wikipedia.org/wiki/Peter_Agre,https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%AC,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Agre.jpg,男性,1949-01-30T00:00:00Z,,アメリカ合衆国
http://www.wikidata.org/entity/Q102804,アンリ・モアッサン,1906,ノーベル化学賞,https://en.wikipedia.org/wiki/Henri_Moissan,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%AA%E3%83%BB%E3%83%A2%E3%82%A2%E3%83%83%E3%82%B5%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Moissan%20HiRes.jpg,男性,1852-09-28T00:00:00Z,1907-02-20T00:00:00Z,フランス
http://www.wikidata.org/entity/Q217722,ラグナー・グラニト,1967,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Ragnar_Granit,https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%B0%E3%83%8A%E3%83%BC%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%8B%E3%83%88,http://commons.wikimedia.org/wiki/Special:FilePath/Ragnar%20Granit.jpg,男性,1900-10-30T00:00:00Z,1991-03-12T00:00:00Z,フィンランド
http://www.wikidata.org/entity/Q71022,エルンスト・ルスカ,1986,ノーベル物理学賞,https://en.wikipedia.org/wiki/Ernst_Ruska,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BB%E3%83%AB%E3%82%B9%E3%82%AB,,男性,1906-12-25T00:00:00Z,1988-05-27T00:00:00Z,ドイツ
http://www.wikidata.org/entity/Q213504,チャールズ・シェリントン,1932,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Charles_Scott_Sherrington,https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%83%BC%E3%83%AB%E3%82%BA%E3%83%BB%E3%82%B7%E3%82%A7%E3%83%AA%E3%83%B3%E3%83%88%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Prof.%20Charles%20Scott%20Sherrington.jpg,男性,1857-11-27T00:00:00Z,1952-03-04T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q102822,ヤコブス・ヘンリクス・ファント・ホッフ,1901,ノーベル化学賞,https://en.wikipedia.org/wiki/Jacobus_Henricus_van_%27t_Hoff,https://ja.wikipedia.org/wiki/%E3%83%A4%E3%82%B3%E3%83%96%E3%82%B9%E3%83%BB%E3%83%98%E3%83%B3%E3%83%AA%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%95%E3%82%A1%E3%83%B3%E3%83%88%E3%83%BB%E3%83%9B%E3%83%83%E3%83%95,http://commons.wikimedia.org/wiki/Special:FilePath/Vant%20Hoff.jpg,男性,1852-08-30T00:00:00Z,1911-03-01T00:00:00Z,オランダ王国
http://www.wikidata.org/entity/Q72194,ヘンリー・ハレット・デール,1936,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Henry_Hallett_Dale,https://ja.wikipedia.org/wiki/%E3%83%98%E3%83%B3%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%8F%E3%83%AC%E3%83%83%E3%83%88%E3%83%BB%E3%83%87%E3%83%BC%E3%83%AB,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Dale%20nobel.jpg,男性,1875-06-09T00:00:00Z,1968-07-23T00:00:00Z,イギリス
